Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-29,AC,34,0,99,13,890754,12,8.3,282,99,183,2.86,23.71,9.86,0.0,9.86,13.86,-0.4857,-0.3143,0.0,-0.3143,-0.1714,-0.4343,,,0.0,316.59,0.0,111.14,111.14,205.44
2020-03-30,AC,41,0,129,14,890754,12,8.3,340,129,211,3.14,26.14,10.29,0.0,10.29,15.86,-0.7143,-0.8571,0.0,-0.8571,0.143,-0.6114,0.0297,,0.0,381.7,0.0,144.82,144.82,236.88
2020-03-31,AC,42,0,122,15,890754,12,8.3,349,122,227,3.0,24.86,10.14,0.0,10.14,14.71,-1.6857,-0.7143,0.0,-0.7143,-0.9714,-1.0457,0.0571,,0.0,391.8,0.0,136.96,136.96,254.84
2020-04-01,AC,43,0,121,16,890754,12,8.3,357,121,236,3.0,24.86,10.0,0.0,10.0,14.86,-2.6,-0.8571,0.0286,-0.8286,-1.7714,-0.1886,0.249,,0.0,400.78,0.0,135.84,135.84,264.94
2020-04-02,AC,45,0,127,17,890754,12,8.3,374,127,247,2.0,16.57,7.86,0.0,7.86,8.71,-3.3429,-0.8571,0.0571,-0.8,-2.5429,-0.0457,0.387,0.0606,0.0,419.87,0.0,142.58,142.58,277.29
2020-04-03,AC,46,0,135,18,890754,12,8.3,382,135,247,1.29,10.71,5.57,0.143,5.71,5.0,-1.4286,-0.1429,0.0571,-0.0857,-1.3429,0.811,0.543,0.0587,0.0,428.85,0.0,151.56,151.56,277.29
2020-04-04,AC,46,0,137,19,890754,12,8.3,382,137,245,1.14,9.43,6.0,0.286,6.29,3.14,-0.9429,0.2,0.0571,0.257,-1.2,1.33,0.333,-0.0651,0.0,428.85,0.0,153.8,153.8,275.05
2020-04-05,AC,48,0,154,20,890754,12,8.3,398,154,244,2.14,17.71,9.43,0.286,9.71,8.0,2.37,1.46,0.0571,1.51,0.857,1.67,0.351,-0.1115,0.0,446.81,0.0,172.89,172.89,273.93
2020-04-06,AC,50,1,168,21,890754,12,8.3,415,169,246,2.43,20.14,11.0,0.286,11.29,8.86,4.03,2.54,0.0286,2.57,1.46,1.47,-0.0766,-0.1472,0.0059,465.9,1.12,188.6,189.73,276.17
2020-04-07,AC,50,2,164,22,890754,12,8.3,415,166,249,3.43,28.43,15.14,0.286,15.43,13.0,5.0,2.8,0.0,2.8,2.2,1.71,-0.1703,-0.1161,0.012,465.9,2.25,184.11,186.36,279.54
2020-04-08,AC,58,2,187,23,890754,12,8.3,481,189,292,3.71,30.86,18.29,0.286,18.57,12.29,5.94,3.57,0.0,3.57,2.37,0.429,-0.1931,-0.1291,0.0106,539.99,2.25,209.93,212.18,327.81
2020-04-09,AC,62,2,204,24,890754,12,8.3,515,206,309,4.14,34.43,20.0,0.286,20.29,14.14,7.6,4.57,-0.0286,4.54,3.06,0.474,-0.248,0.0437,0.0097,578.16,2.25,229.02,231.26,346.9
2020-04-10,AC,70,2,241,25,890754,12,8.3,581,243,338,5.71,47.43,27.29,0.286,27.57,19.86,4.51,3.0,0.0,3.0,1.51,0.703,-0.2949,0.0455,0.0082,652.26,2.25,270.56,272.8,379.45
2020-04-11,AC,72,2,265,26,890754,12,8.3,598,267,331,7.0,58.14,33.86,0.143,34.0,24.14,6.4,3.77,0.0286,3.8,2.6,0.234,0.142,0.0336,0.0075,671.34,2.25,297.5,299.75,371.6
2020-04-12,AC,77,2,294,27,890754,12,8.3,639,296,343,6.14,51.0,30.14,0.286,30.43,20.57,8.51,4.46,0.0286,4.49,4.03,0.234,0.0571,0.0629,0.0068,717.37,2.25,330.06,332.3,385.07
2020-04-13,AC,90,3,359,28,890754,12,8.3,747,362,385,7.57,62.86,37.14,0.429,37.57,25.29,7.11,3.23,0.0571,3.29,3.83,1.14,-0.0251,0.0041,0.0083,838.62,3.37,403.03,406.4,432.22
2020-04-14,AC,99,3,401,29,890754,12,8.3,822,404,418,9.29,77.0,42.29,0.429,42.71,34.29,8.77,4.2,0.0857,4.29,4.49,0.76,0.0663,-0.0987,0.0074,922.81,3.37,450.18,453.55,469.27
2020-04-15,AC,101,4,398,30,890754,12,8.3,838,402,436,10.0,83.0,43.43,0.571,44.0,39.0,10.2,5.31,0.0857,5.4,4.8,0.577,-0.2743,-0.0855,0.01,940.78,4.49,446.81,451.3,489.47
2020-04-16,AC,115,5,464,31,890754,12,8.3,955,469,486,12.29,102.0,54.86,0.571,55.43,46.57,10.2,5.63,0.0571,5.69,4.51,0.566,-0.352,-0.0866,0.0107,1072.13,5.61,520.91,526.52,545.61
2020-04-17,AC,135,5,537,32,890754,12,8.3,1120,542,578,12.29,102.0,56.71,0.714,57.43,44.57,11.4,7.49,0.0286,7.51,3.89,-1.1371,-0.3703,-0.0965,0.0092,1257.36,5.61,602.86,608.47,648.89
2020-04-18,AC,142,6,569,33,890754,12,8.3,1179,575,604,13.71,113.86,65.29,0.714,66.0,47.86,9.94,6.51,0.0286,6.54,3.4,-0.6229,-0.4583,0.153,0.0104,1323.6,6.74,638.78,645.52,678.08
2020-04-19,AC,163,6,678,34,890754,12,8.3,1353,684,669,16.14,134.0,79.71,0.571,80.29,53.71,3.09,2.97,0.0571,3.03,0.0571,-1.0914,-0.416,0.155,0.0088,1518.94,6.74,761.15,767.89,751.05
2020-04-20,AC,176,8,756,35,890754,12,8.3,1461,764,697,16.0,132.71,76.0,0.714,76.71,56.0,7.09,4.11,0.0,4.11,2.97,-1.7143,0.493,0.34,0.0105,1640.18,8.98,848.72,857.7,782.48
2020-04-21,AC,195,8,858,36,890754,12,8.3,1619,866,753,14.14,117.43,69.71,0.857,70.57,46.86,4.74,2.49,0.0,2.49,2.26,-1.5143,0.421,0.46,0.0092,1817.56,8.98,963.23,972.21,845.35
2020-04-22,AC,214,8,956,37,890754,12,8.3,1776,964,812,16.57,137.43,77.29,0.714,78.0,59.43,2.83,0.457,0.0571,0.514,2.31,1.33,1.33,0.612,0.0083,1993.82,8.98,1073.25,1082.23,911.59
2020-04-23,AC,227,10,996,38,890754,12,8.3,1884,1006,878,16.57,137.57,77.71,0.714,78.43,59.14,2.37,-0.0286,0.0857,0.0571,2.31,1.48,1.84,0.325,0.0099,2115.06,11.23,1118.15,1129.38,985.68
2020-04-24,AC,234,11,1025,39,890754,12,8.3,1942,1036,906,17.86,148.14,82.0,0.857,82.86,65.29,9.71,2.69,0.114,2.8,6.91,5.55,2.65,0.354,0.0106,2180.18,12.35,1150.71,1163.06,1017.12
2020-04-25,AC,258,11,1110,40,890754,12,8.3,2141,1121,1020,17.43,144.57,75.86,1.14,77.0,67.57,14.49,5.57,0.114,5.69,8.8,7.5,2.12,-0.1099,0.0098,2403.58,12.35,1246.14,1258.48,1145.1
2020-04-26,AC,279,11,1222,41,890754,12,8.3,2316,1233,1083,20.0,166.0,83.14,1.43,84.57,81.43,32.49,16.23,0.0857,16.31,16.17,11.71,2.19,-0.3941,0.0089,2600.04,12.35,1371.87,1384.22,1215.82
2020-04-27,AC,301,14,1330,42,890754,12,8.3,2498,1344,1154,25.29,209.86,105.14,1.29,106.43,103.43,40.34,22.91,0.143,23.06,17.29,11.91,0.778,-0.8951,0.0104,2804.37,15.72,1493.12,1508.83,1295.53
2020-04-28,AC,317,16,1389,43,890754,12,8.3,2631,1405,1226,36.14,300.0,158.86,1.14,160.0,140.0,60.94,36.54,0.171,36.71,24.23,12.42,-0.1269,-0.7897,0.0114,2953.68,17.96,1559.35,1577.32,1376.36
2020-04-29,AC,354,18,1538,44,890754,12,8.3,2938,1556,1382,42.14,349.86,196.57,1.57,198.14,151.71,69.26,42.23,0.114,42.34,26.91,9.44,-1.8297,-0.9991,0.0116,3298.33,20.21,1726.63,1746.83,1551.49
2020-04-30,AC,404,19,1732,45,890754,12,8.3,3353,1751,1602,54.14,449.29,258.57,2.0,260.57,188.71,76.6,47.94,0.114,48.06,28.54,6.87,-1.832,-0.909,0.0109,3764.23,21.33,1944.42,1965.75,1798.48
2020-05-01,AC,487,19,2137,46,890754,12,8.3,4042,2156,1886,61.71,512.29,294.29,2.0,296.29,216.0,79.69,46.51,0.257,46.77,32.91,2.57,-2.8069,-0.5376,0.0088,4537.73,21.33,2399.09,2420.42,2117.31
2020-05-02,AC,553,22,2486,47,890754,12,8.3,4590,2508,2082,71.43,592.86,344.86,1.86,346.71,246.14,74.69,42.69,0.171,42.86,31.83,2.75,-3.7669,-0.2112,0.0088,5152.94,24.7,2790.89,2815.59,2337.35
2020-05-03,AC,658,25,3032,48,890754,12,8.3,5461,3057,2404,84.14,698.43,391.43,2.43,393.86,304.57,73.77,38.54,0.143,38.69,35.09,-1.6114,-2.8149,-0.5138,0.0082,6130.76,28.07,3403.86,3431.92,2698.84
2020-05-04,AC,733,28,3390,49,890754,12,8.3,6084,3418,2666,87.14,723.29,410.0,2.43,412.43,310.86,83.0,43.71,0.114,43.83,39.17,-9.3943,-2.8857,-0.2658,0.0082,6830.17,31.43,3805.76,3837.2,2992.97
2020-05-05,AC,817,29,3803,50,890754,12,8.3,6781,3832,2949,98.57,818.14,451.29,2.71,454.0,364.14,68.54,38.03,0.0857,38.11,30.43,-7.2057,-4.4011,0.497,0.0076,7612.65,32.56,4269.42,4301.97,3310.68
2020-05-06,AC,943,35,4278,51,890754,12,8.3,7827,4313,3514,111.71,927.29,512.86,2.57,515.43,411.86,32.71,25.06,-0.0286,25.03,7.69,-11.8629,-4.136,0.117,0.0081,8786.94,39.29,4802.67,4841.97,3944.97
2020-05-07,AC,1014,36,4602,52,890754,12,8.3,8416,4638,3778,112.71,935.57,535.0,2.29,537.29,398.29,38.66,30.11,0.143,30.26,8.4,-19.2571,-1.28,0.98,0.0078,9448.18,40.42,5166.41,5206.82,4241.35
2020-05-08,AC,1177,38,5296,53,890754,12,8.3,9769,5334,4435,103.86,862.0,516.71,2.29,519.0,343.0,14.46,21.66,-0.0571,21.6,-7.1429,-22.2914,-2.2297,2.07,0.0071,10967.11,42.66,5945.52,5988.19,4978.93
2020-05-09,AC,1335,40,6076,54,890754,12,8.3,11081,6116,4965,110.43,916.57,560.57,3.14,563.71,352.86,-13.2857,5.2,0.0286,5.23,-18.5143,-15.7943,2.01,3.04,0.0065,12440.02,44.91,6821.19,6866.09,5573.93
2020-05-10,AC,1447,41,6777,55,890754,12,8.3,12010,6818,5192,107.29,890.43,559.57,2.43,562.0,328.43,-42.9143,-17.5429,0.0857,-17.4571,-25.4571,-18.3543,5.96,2.83,0.006,13482.96,46.03,7608.16,7654.19,5828.77
2020-05-11,AC,1460,44,7007,56,890754,12,8.3,12118,7051,5067,103.71,860.86,538.86,2.71,541.57,319.29,-46.2571,-23.4857,0.0857,-23.4,-22.8571,-1.8,11.06,3.52,0.0062,13604.2,49.4,7866.37,7915.77,5688.44
2020-05-12,AC,1590,51,7727,57,890754,12,8.3,13197,7778,5419,86.86,721.0,447.29,2.71,450.0,271.0,-53.1143,-25.8857,-0.0286,-25.9143,-27.2,10.53,12.89,1.95,0.0066,14815.54,57.25,8674.67,8731.93,6083.61
2020-05-13,AC,1694,52,8195,58,890754,12,8.3,14060,8247,5813,76.0,630.71,399.29,2.71,402.0,228.71,5.46,1.6,0.171,1.77,3.69,33.01,15.37,0.485,0.0063,15784.38,58.38,9200.07,9258.45,6525.93
2020-05-14,AC,1740,55,8374,59,890754,12,8.3,14442,8429,6013,78.43,651.0,431.14,3.0,434.14,216.86,39.37,18.63,0.0857,18.71,20.66,48.67,11.77,-2.3387,0.0065,16213.23,61.75,9401.02,9462.77,6750.46
2020-05-15,AC,1785,57,8427,60,890754,12,8.3,14816,8484,6332,110.57,917.71,567.57,3.29,570.86,346.86,122.11,66.34,0.114,66.46,55.66,58.47,8.38,-4.3264,0.0067,16633.1,63.99,9460.52,9524.52,7108.58
2020-05-16,AC,1867,59,8871,61,890754,12,8.3,15496,8930,6566,127.43,1057.71,632.0,3.14,635.14,422.57,197.09,110.14,0.114,110.26,86.83,57.06,-0.6343,-5.6642,0.0066,17396.5,66.24,9958.98,10025.21,7371.28
2020-05-17,AC,1996,62,9795,62,890754,12,8.3,16567,9857,6710,160.43,1331.57,779.0,3.29,782.29,549.29,239.26,133.71,0.0571,133.77,105.49,52.45,-8.7394,-6.0197,0.0063,18598.85,69.6,10996.3,11065.91,7532.94
2020-05-18,AC,2234,67,10980,63,890754,12,8.3,18542,11047,7495,194.71,1616.14,950.0,3.29,953.29,662.86,290.74,172.97,0.143,173.11,117.63,29.83,-12.9554,-5.5543,0.0061,20816.07,75.22,12326.64,12401.85,8414.22
2020-05-19,AC,2482,73,12151,64,890754,12,8.3,20601,12224,8377,222.57,1847.29,1099.71,3.29,1103.0,744.29,301.63,183.71,0.229,183.94,117.69,4.97,-18.3269,-3.3543,0.006,23127.6,81.95,13641.25,13723.21,9404.39
2020-05-20,AC,2817,75,13648,65,890754,12,8.3,23381,13723,9658,285.71,2371.43,1432.43,4.0,1436.43,935.0,271.29,185.71,0.2,185.91,85.37,-6.3029,-19.3874,-0.6816,0.0055,26248.55,84.2,15321.85,15406.05,10842.5
2020-05-21,AC,3103,78,15024,66,890754,12,8.3,25755,15102,10653,309.14,2565.86,1550.57,4.29,1554.86,1011.0,221.94,166.8,0.257,167.06,54.89,-34.5771,-17.4057,0.0261,0.0052,28913.71,87.57,16866.61,16954.18,11959.53
2020-05-22,AC,3343,80,16125,67,890754,12,8.3,27747,16205,11542,323.86,2688.0,1707.57,4.29,1711.86,976.14,207.74,164.2,0.429,164.63,43.11,-44.4857,-12.1474,2.56,0.0049,31150.01,89.81,18102.64,18192.45,12957.56
2020-05-23,AC,3867,87,18898,68,890754,12,8.3,32096,18985,13111,328.43,2725.86,1784.0,4.57,1788.57,937.29,117.86,101.69,0.457,102.14,15.71,-57.1943,-12.8251,2.99,0.0046,36032.4,97.67,21215.73,21313.4,14718.99
2020-05-24,AC,4160,92,20649,69,890754,12,8.3,34528,20741,13787,347.71,2886.0,1920.71,5.43,1926.14,959.86,79.2,76.74,0.714,77.46,1.74,-55.7657,-5.5097,4.4,0.0044,38762.67,103.28,23181.48,23284.77,15477.9
2020-05-25,AC,4501,97,22933,70,890754,12,8.3,37358,23030,14328,356.71,2960.71,1940.86,6.29,1947.14,1013.57,-14.6857,-12.9714,0.714,-12.2571,-2.4286,-70.4286,-4.4194,3.95,0.0042,41939.75,108.9,25745.6,25854.5,16085.25
2020-05-26,AC,4781,105,24639,71,890754,12,8.3,39682,24744,14938,356.86,2961.86,1934.29,7.86,1942.14,1019.71,-56.8857,-35.1714,0.686,-34.4857,-22.4,-62.1257,4.59,5.83,0.0042,44548.78,117.88,27660.84,27778.71,16770.06
2020-05-27,AC,5251,113,27093,72,890754,12,8.3,43583,27206,16377,315.0,2614.57,1642.71,7.86,1650.57,964.0,-144.4,-82.7143,0.743,-81.9714,-62.4286,-66.5829,7.59,5.28,0.0042,48928.21,126.86,30415.81,30542.66,18385.55
2020-05-28,AC,5600,122,28610,73,890754,12,8.3,46480,28732,17748,294.14,2441.43,1608.14,8.0,1616.14,825.29,-192.7714,-118.8571,0.457,-118.4,-74.3714,-34.2514,16.33,6.28,0.0042,52180.51,136.96,32118.86,32255.82,19924.69
2020-05-29,AC,5841,135,29665,74,890754,12,8.3,48480,29800,18680,260.71,2164.0,1507.14,9.14,1516.29,647.71,-253.7143,-156.1143,0.0857,-156.0286,-97.6857,-17.84,20.89,3.02,0.0045,54425.8,151.56,33303.25,33454.8,20971.0
2020-05-30,AC,6072,142,30397,75,890754,12,8.3,50398,30539,19859,240.57,1996.86,1346.57,8.57,1355.14,641.71,-185.9429,-91.7143,0.114,-91.6,-94.3429,11.23,27.0,1.55,0.0046,56579.03,159.42,34125.02,34284.44,22294.6
2020-05-31,AC,6219,148,31906,76,890754,12,8.3,51618,32054,19564,204.0,1693.29,1153.71,8.29,1162.0,531.29,-146.0857,-74.1429,-0.0286,-74.1714,-71.9143,42.34,19.7,-1.8395,0.0046,57948.66,166.15,35819.09,35985.24,21963.42
2020-06-01,AC,6326,161,33483,77,890754,12,8.3,52506,33644,18862,203.0,1684.86,1184.14,8.43,1192.57,492.29,-88.2286,-28.4286,-0.1429,-28.5714,-59.6571,68.43,15.33,-5.5554,0.0048,58945.57,180.75,37589.5,37770.25,21175.32
2020-06-02,AC,6465,165,34065,78,890754,12,8.3,53660,34230,19430,206.14,1711.0,1237.43,7.86,1245.29,465.71,18.94,56.0,-0.0286,55.97,-37.0286,64.27,7.13,-8.4505,0.0048,60241.1,185.24,38242.88,38428.12,21812.98
2020-06-03,AC,6679,171,35169,79,890754,12,8.3,55436,35340,20096,207.57,1722.86,1365.0,8.43,1373.43,349.43,88.43,102.03,-0.2286,101.8,-13.3714,58.81,-6.8834,-8.2263,0.0048,62234.92,191.97,39482.28,39674.25,22560.66
2020-06-04,AC,7021,181,36899,80,890754,12,8.3,58274,37080,21194,252.0,2091.57,1626.57,8.43,1635.0,456.57,135.4,129.66,-0.0286,129.63,5.77,46.91,-15.2503,-7.4048,0.0049,65420.98,203.2,41424.46,41627.65,23793.33
2020-06-05,AC,7284,190,38327,81,890754,12,8.3,60457,38517,21940,257.29,2135.43,1663.86,7.14,1671.0,464.43,147.97,132.57,0.314,132.89,15.09,7.93,-21.4274,-5.4679,0.0049,67871.71,213.3,43027.59,43240.89,24630.82
2020-06-06,AC,7525,201,39952,82,890754,12,8.3,62458,40153,22305,284.57,2361.86,1832.43,8.29,1840.71,521.14,146.31,118.8,0.143,118.94,27.37,-7.8229,-21.6937,-0.2018,0.005,70118.12,225.65,44851.89,45077.54,25040.58
2020-06-07,AC,7983,207,43292,83,890754,12,8.3,66259,43499,22760,295.29,2450.86,1900.29,9.43,1909.71,541.14,58.57,74.23,0.143,74.37,-15.8,-42.8686,-20.2046,2.14,0.0048,74385.3,232.39,48601.52,48833.91,25551.39
2020-06-08,AC,8127,211,45130,84,890754,12,8.3,67454,45341,22113,295.71,2454.43,1959.0,9.14,1968.14,486.29,49.31,82.63,0.143,82.77,-33.4571,-49.6571,-7.8926,6.69,0.0047,75726.86,236.88,50664.94,50901.82,24825.04
2020-06-09,AC,8457,223,46892,85,890754,12,8.3,70193,47115,23078,287.29,2384.43,1997.71,9.14,2006.86,377.57,-78.9429,2.11,-0.1714,1.94,-80.8857,-54.1143,-4.5429,7.29,0.0047,78801.78,250.35,52643.04,52893.39,25908.39
2020-06-10,AC,8746,237,48471,86,890754,12,8.3,72592,48708,23884,287.0,2382.0,2077.0,7.86,2084.86,297.14,-100.3143,-20.4857,-0.3429,-20.8286,-79.4857,-31.5371,12.04,7.57,0.0049,81495.0,266.07,54415.7,54681.76,26813.24
2020-06-11,AC,9091,245,50612,87,890754,12,8.3,75455,50857,24598,237.0,1967.14,1843.0,7.43,1850.43,116.71,-124.2571,-49.0571,-0.4571,-49.5143,-74.7429,-30.5371,14.75,3.97,0.0048,84709.13,275.05,56819.28,57094.33,27614.81
2020-06-12,AC,9295,254,52311,88,890754,12,8.3,77148,52565,24583,234.86,1949.29,1797.86,7.71,1805.57,143.71,-99.1143,-43.0286,-0.5714,-43.6,-55.5143,17.35,17.62,3.4,0.0048,86609.77,285.15,58726.65,59011.8,27597.97
2020-06-13,AC,9534,256,54491,89,890754,12,8.3,79132,54747,24385,220.86,1833.14,1713.71,6.86,1720.57,112.57,-103.3714,-43.7714,-0.3714,-44.1429,-59.2286,24.1,11.93,-3.1829,0.0047,88837.1,287.4,61174.02,61461.41,27375.68
2020-06-14,AC,9642,259,56193,90,890754,12,8.3,80029,56452,23577,227.57,1888.86,1782.57,6.29,1788.86,100.0,7.83,-28.3714,-0.4,-28.7714,36.6,34.0,12.46,-4.2443,0.0046,89844.11,290.76,63084.76,63375.52,26468.59
2020-06-15,AC,9771,265,57715,91,890754,12,8.3,81099,57980,23119,224.71,1865.14,1858.14,6.0,1864.14,1.0,20.17,-28.7714,-0.3714,-29.1429,49.31,28.13,-3.8697,-5.4059,0.0046,91045.34,297.5,64793.42,65090.92,25954.42
2020-06-16,AC,10003,271,58888,92,890754,12,8.3,83025,59159,23866,241.71,2006.29,1701.14,5.43,1706.57,299.71,45.74,0.8,-0.2,0.6,45.14,31.77,-6.4709,-4.0677,0.0046,93207.55,304.24,66110.28,66414.52,26793.03
2020-06-17,AC,10339,281,60949,93,890754,12,8.3,85814,61230,24584,247.0,2050.14,1654.0,5.86,1659.86,390.29,41.51,-4.6,-0.1143,-4.7143,46.23,-1.9943,-9.4069,-4.4537,0.0046,96338.61,315.46,68424.05,68739.52,27599.09
2020-06-18,AC,10664,287,63619,94,890754,12,8.3,88511,63906,24605,248.43,2061.86,1717.71,5.86,1723.57,338.29,55.49,-12.4286,0.229,-12.2,67.69,-8.2571,-8.4057,0.727,0.0045,99366.38,322.2,71421.51,71743.71,27622.67
2020-06-19,AC,10987,292,64219,95,890754,12,8.3,91192,64511,26681,252.57,2096.43,1759.57,5.71,1765.29,331.14,-2.1429,-11.9714,0.2,-11.7714,9.63,-13.0343,-9.8069,1.42,0.0045,102376.19,327.81,72095.1,72422.91,29953.28
2020-06-20,AC,11263,297,66069,96,890754,12,8.3,93483,66366,27117,258.14,2142.57,1796.0,7.14,1803.14,339.43,-21.1143,-29.7714,0.2,-29.5714,8.46,-13.9029,-0.2366,2.63,0.0045,104948.17,333.43,74171.99,74505.42,30442.75
2020-06-21,AC,11381,300,68217,97,890754,12,8.3,94462,68517,25945,240.43,1995.57,1641.29,6.43,1647.71,347.86,-19.4286,-10.9143,0.286,-10.6286,-8.8,-17.2629,0.627,2.64,0.0044,106047.24,336.79,76583.43,76920.23,29127.01
2020-06-22,AC,11539,305,70032,98,890754,12,8.3,95774,70337,25437,234.29,1944.57,1505.14,6.86,1512.0,432.57,-28.0,-18.0857,0.4,-17.6857,-10.3143,-3.1771,3.73,2.5,0.0043,107520.15,342.41,78621.03,78963.44,28556.71
2020-06-23,AC,11810,321,71460,99,890754,12,8.3,98023,71781,26242,236.71,1964.71,1663.14,7.29,1670.43,294.29,-30.8286,-38.8,0.0857,-38.7143,7.89,-5.12,4.79,0.256,0.0045,110044.97,360.37,80224.17,80584.54,29460.43
2020-06-24,AC,12022,326,72438,100,890754,12,8.3,99783,72764,27019,235.71,1956.43,1669.14,7.71,1676.86,279.57,-18.0286,-11.8286,0.314,-11.5143,-6.5143,5.59,2.7,0.683,0.0045,112020.83,365.98,81322.12,81688.1,30332.73
2020-06-25,AC,12304,335,74155,101,890754,12,8.3,102123,74490,27633,239.57,1988.43,1602.0,7.57,1609.57,378.86,-46.7143,6.86,-0.1143,6.74,-53.4571,10.06,1.04,-1.3239,0.0045,114647.82,376.09,83249.7,83625.78,31022.03
2020-06-26,AC,12644,343,75861,102,890754,12,8.3,104945,76204,28741,229.57,1905.43,1582.14,8.0,1590.14,315.29,8.54,21.29,-0.2,21.09,-12.5429,-3.7429,4.04,-1.6453,0.0045,117815.92,385.07,85164.93,85549.99,32265.92
2020-06-27,AC,12913,351,77753,103,890754,12,8.3,107178,78104,29074,206.14,1711.0,1539.43,6.29,1545.71,165.29,22.29,22.97,-0.3143,22.66,-0.3714,2.04,-2.8937,-0.0254,0.0045,120322.78,394.05,87288.97,87683.02,32639.76
2020-06-28,AC,13058,353,79431,104,890754,12,8.3,108381,79784,28597,241.86,2007.43,1769.57,6.29,1775.86,231.57,-49.5429,4.94,-0.2571,4.69,-54.2286,15.09,-3.4343,-0.5253,0.0044,121673.32,396.29,89172.77,89569.06,32104.26
2020-06-29,AC,13146,361,81107,105,890754,12,8.3,109112,81468,27644,249.14,2067.86,1784.0,6.14,1790.14,277.71,-7.8286,35.51,-0.4571,35.06,-42.8857,-8.8743,2.58,-1.4672,0.0044,122493.98,405.27,91054.32,91459.59,31034.38
2020-06-30,AC,13253,365,82236,106,890754,12,8.3,110000,82601,27399,209.71,1740.71,1626.71,6.29,1633.0,107.71,28.71,54.03,-0.1714,53.86,-25.1429,-7.1143,-1.5829,,0.0044,123490.89,409.77,92321.79,92731.55,30759.33
2020-07-01,AC,13715,370,84825,107,890754,12,8.3,113835,85195,28640,224.86,1866.29,1759.71,5.71,1765.43,100.86,-35.8286,12.74,-0.3143,12.43,-48.2571,9.14,-3.2949,,0.0043,127796.23,415.38,95228.31,95643.69,32152.54
2020-07-02,AC,14048,378,86643,108,890754,12,8.3,116598,87021,29577,223.43,1854.57,1809.57,5.43,1815.0,39.57,-13.2857,19.77,-0.2571,19.51,-32.8,-5.8743,,,0.0043,130898.09,424.36,97269.28,97693.64,33204.45
2020-07-03,AC,14112,387,87248,109,890754,12,8.3,117130,87635,29495,220.29,1828.29,1833.29,4.71,1838.0,-9.7143,-3.8286,18.09,-0.2857,17.8,-21.6286,-1.3886,,,0.0044,131495.34,434.46,97948.48,98382.94,33112.4
