date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2021-02-25,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-02-26,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-02-27,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-02-28,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-01,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-02,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-03,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-04,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-05,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-06,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-07,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-08,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-09,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-10,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-11,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-12,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-13,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-14,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-15,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-16,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-17,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-18,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-19,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-20,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-21,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-22,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-23,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-24,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-25,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-26,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-27,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-28,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-29,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-30,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-03-31,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-01,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-02,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-03,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-04,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-05,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-06,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-07,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-08,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-09,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-10,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-11,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-12,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-13,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-14,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-15,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-16,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-17,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-18,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-19,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-20,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-21,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-22,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-23,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-24,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-25,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-26,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-27,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-28,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-29,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-04-30,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-01,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-02,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-03,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-04,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-05,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-06,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-07,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-08,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-09,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-10,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-11,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-12,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-13,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-14,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-15,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-16,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-17,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-18,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-19,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-20,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-21,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-22,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-23,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-24,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-25,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
2021-05-26,2139.653,0.0,0.0,2127.349,12.304,-0.0,-0.0,0.0,0.0
