Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-11-01,2002,1,5,1992,5,0,0,0,0
2020-11-02,2003,1,5,1993,5,0,0,0,0
2020-11-03,2002,1,4,1993,5,0,0,0,0
2020-11-04,2003,1,4,1994,5,0,0,0,0
2020-11-05,2003,1,4,1994,5,0,0,0,0
2020-11-06,2003,1,4,1994,5,0,0,0,0
2020-11-07,2004,1,4,1995,5,0,0,0,0
2020-11-08,2004,1,4,1995,5,0,0,0,0
2020-11-09,2004,1,4,1995,5,0,0,0,0
2020-11-10,2004,1,3,1996,5,0,0,0,0
2020-11-11,2004,1,3,1996,5,0,0,0,0
2020-11-12,2004,1,3,1996,5,0,0,0,0
2020-11-13,2004,1,3,1996,5,0,0,0,0
2020-11-14,2005,1,3,1997,5,0,0,0,0
2020-11-15,2005,1,3,1997,5,0,0,0,0
2020-11-16,2005,1,3,1997,5,0,0,0,0
2020-11-17,2005,1,3,1997,5,0,0,0,0
2020-11-18,2006,1,3,1998,5,0,0,0,0
2020-11-19,2005,1,2,1998,5,0,0,0,0
2020-11-20,2005,1,2,1998,5,0,0,0,0
2020-11-21,2005,1,2,1998,5,0,0,0,0
2020-11-22,2006,1,2,1999,5,0,0,0,0
2020-11-23,2006,1,2,1999,5,0,0,0,0
2020-11-24,2006,1,2,1999,5,0,0,0,0
2020-11-25,2006,1,2,1999,5,0,0,0,0
2020-11-26,2006,1,2,1999,5,0,0,0,0
2020-11-27,2006,0,2,1999,5,0,0,0,0
2020-11-28,2007,0,2,2000,5,0,0,0,0
2020-11-29,2007,0,2,2000,5,0,0,0,0
2020-11-30,2007,0,2,2000,5,0,0,0,0
2020-12-01,2007,0,2,2000,5,0,0,0,0
2020-12-02,2006,0,1,2000,5,0,0,0,0
2020-12-03,2006,0,1,2000,5,0,0,0,0
2020-12-04,2006,0,1,2000,5,0,0,0,0
2020-12-05,2007,0,1,2001,5,0,0,0,0
2020-12-06,2007,0,1,2001,5,0,0,0,0
2020-12-07,2007,0,1,2001,5,0,0,0,0
2020-12-08,2007,0,1,2001,5,0,0,0,0
2020-12-09,2007,0,1,2001,5,0,0,0,0
2020-12-10,2007,0,1,2001,5,0,0,0,0
2020-12-11,2007,0,1,2001,5,0,0,0,0
2020-12-12,2007,0,1,2001,5,0,0,0,0
2020-12-13,2007,0,1,2001,5,0,0,0,0
2020-12-14,2007,0,1,2001,5,0,0,0,0
2020-12-15,2008,0,1,2002,5,0,0,0,0
2020-12-16,2008,0,1,2002,5,0,0,0,0
2020-12-17,2008,0,1,2002,5,0,0,0,0
2020-12-18,2008,0,1,2002,5,0,0,0,0
2020-12-19,2008,0,1,2002,5,0,0,0,0
2020-12-20,2008,0,1,2002,5,0,0,0,0
2020-12-21,2008,0,1,2002,5,0,0,0,0
2020-12-22,2008,0,1,2002,5,0,0,0,0
2020-12-23,2008,0,1,2002,5,0,0,0,0
2020-12-24,2008,0,1,2002,5,0,0,0,0
2020-12-25,2008,0,1,2002,5,0,0,0,0
2020-12-26,2008,0,1,2002,5,0,0,0,0
2020-12-27,2008,0,1,2002,5,0,0,0,0
2020-12-28,2008,0,1,2002,5,0,0,0,0
2020-12-29,2008,0,1,2002,5,0,0,0,0
2020-12-30,2009,0,1,2003,5,0,0,0,0
2020-12-31,2008,0,0,2003,5,0,0,0,0
2021-01-01,2008,0,0,2003,5,0,0,0,0
2021-01-02,2008,0,0,2003,5,0,0,0,0
2021-01-03,2008,0,0,2003,5,0,0,0,0
2021-01-04,2008,0,0,2003,5,0,0,0,0
2021-01-05,2008,0,0,2003,5,0,0,0,0
2021-01-06,2008,0,0,2003,5,0,0,0,0
2021-01-07,2008,0,0,2003,5,0,0,0,0
2021-01-08,2008,0,0,2003,5,0,0,0,0
2021-01-09,2008,0,0,2003,5,0,0,0,0
2021-01-10,2008,0,0,2003,5,0,0,0,0
2021-01-11,2008,0,0,2003,5,0,0,0,0
2021-01-12,2008,0,0,2003,5,0,0,0,0
2021-01-13,2008,0,0,2003,5,0,0,0,0
2021-01-14,2008,0,0,2003,5,0,0,0,0
2021-01-15,2008,0,0,2003,5,0,0,0,0
2021-01-16,2008,0,0,2003,5,0,0,0,0
2021-01-17,2008,0,0,2003,5,0,0,0,0
2021-01-18,2008,0,0,2003,5,0,0,0,0
2021-01-19,2008,0,0,2003,5,0,0,0,0
2021-01-20,2008,0,0,2003,5,0,0,0,0
2021-01-21,2008,0,0,2003,5,0,0,0,0
2021-01-22,2008,0,0,2003,5,0,0,0,0
2021-01-23,2008,0,0,2003,5,0,0,0,0
2021-01-24,2008,0,0,2003,5,0,0,0,0
2021-01-25,2008,0,0,2003,5,0,0,0,0
2021-01-26,2008,0,0,2003,5,0,0,0,0
2021-01-27,2008,0,0,2003,5,0,0,0,0
2021-01-28,2008,0,0,2003,5,0,0,0,0
2021-01-29,2008,0,0,2003,5,0,0,0,0
2021-01-30,2008,0,0,2003,5,0,0,0,0
2021-01-31,2008,0,0,2003,5,0,0,0,0
2021-02-01,2008,0,0,2003,5,0,0,0,0
2021-02-02,2008,0,0,2003,5,0,0,0,0
2021-02-03,2008,0,0,2003,5,0,0,0,0
2021-02-04,2008,0,0,2003,5,0,0,0,0
2021-02-05,2008,0,0,2003,5,0,0,0,0
2021-02-06,2008,0,0,2003,5,0,0,0,0
2021-02-07,2008,0,0,2003,5,0,0,0,0
2021-02-08,2008,0,0,2003,5,0,0,0,0
2021-02-09,2008,0,0,2003,5,0,0,0,0
2021-02-10,2009,0,0,2004,5,0,0,0,0
2021-02-11,2009,0,0,2004,5,0,0,0,0
2021-02-12,2009,0,0,2004,5,0,0,0,0
2021-02-13,2009,0,0,2004,5,0,0,0,0
2021-02-14,2009,0,0,2004,5,0,0,0,0
2021-02-15,2009,0,0,2004,5,0,0,0,0
2021-02-16,2009,0,0,2004,5,0,0,0,0
2021-02-17,2009,0,0,2004,5,0,0,0,0
2021-02-18,2009,0,0,2004,5,0,0,0,0
2021-02-19,2009,0,0,2004,5,0,0,0,0
2021-02-20,2009,0,0,2004,5,0,0,0,0
2021-02-21,2009,0,0,2004,5,0,0,0,0
2021-02-22,2009,0,0,2004,5,0,0,0,0
2021-02-23,2009,0,0,2004,5,0,0,0,0
2021-02-24,2009,0,0,2004,5,0,0,0,0
2021-02-25,2009,0,0,2004,5,0,0,0,0
2021-02-26,2009,0,0,2004,5,0,0,0,0
2021-02-27,2009,0,0,2004,5,0,0,0,0
2021-02-28,2009,0,0,2004,5,0,0,0,0
2021-03-01,2009,0,0,2004,5,0,0,0,0
2021-03-02,2009,0,0,2004,5,0,0,0,0
2021-03-03,2009,0,0,2004,5,0,0,0,0
2021-03-04,2009,0,0,2004,5,0,0,0,0
2021-03-05,2009,0,0,2004,5,0,0,0,0
2021-03-06,2009,0,0,2004,5,0,0,0,0
2021-03-07,2009,0,0,2004,5,0,0,0,0
2021-03-08,2009,0,0,2004,5,0,0,0,0
2021-03-09,2009,0,0,2004,5,0,0,0,0
2021-03-10,2009,0,0,2004,5,0,0,0,0
2021-03-11,2009,0,0,2004,5,0,0,0,0
2021-03-12,2009,0,0,2004,5,0,0,0,0
2021-03-13,2009,0,0,2004,5,0,0,0,0
2021-03-14,2009,0,0,2004,5,0,0,0,0
2021-03-15,2009,0,0,2004,5,0,0,0,0
2021-03-16,2009,0,0,2004,5,0,0,0,0
2021-03-17,2009,0,0,2004,5,0,0,0,0
2021-03-18,2009,0,0,2004,5,0,0,0,0
2021-03-19,2009,0,0,2004,5,0,0,0,0
2021-03-20,2009,0,0,2004,5,0,0,0,0
2021-03-21,2009,0,0,2004,5,0,0,0,0
2021-03-22,2009,0,0,2004,5,0,0,0,0
2021-03-23,2009,0,0,2004,5,0,0,0,0
2021-03-24,2009,0,0,2004,5,0,0,0,0
2021-03-25,2009,0,0,2004,5,0,0,0,0
2021-03-26,2009,0,0,2004,5,0,0,0,0
2021-03-27,2009,0,0,2004,5,0,0,0,0
2021-03-28,2009,0,0,2004,5,0,0,0,0
2021-03-29,2009,0,0,2004,5,0,0,0,0
2021-03-30,2009,0,0,2004,5,0,0,0,0
2021-03-31,2009,0,0,2004,5,0,0,0,0
2021-04-01,2009,0,0,2004,5,0,0,0,0
2021-04-02,2009,0,0,2004,5,0,0,0,0
2021-04-03,2009,0,0,2004,5,0,0,0,0
2021-04-04,2009,0,0,2004,5,0,0,0,0
2021-04-05,2009,0,0,2004,5,0,0,0,0
2021-04-06,2009,0,0,2004,5,0,0,0,0
2021-04-07,2009,0,0,2004,5,0,0,0,0
2021-04-08,2009,0,0,2004,5,0,0,0,0
2021-04-09,2009,0,0,2004,5,0,0,0,0
2021-04-10,2009,0,0,2004,5,0,0,0,0
2021-04-11,2009,0,0,2004,5,0,0,0,0
2021-04-12,2009,0,0,2004,5,0,0,0,0
2021-04-13,2009,0,0,2004,5,0,0,0,0
2021-04-14,2009,0,0,2004,5,0,0,0,0
2021-04-15,2009,0,0,2004,5,0,0,0,0
2021-04-16,2009,0,0,2004,5,0,0,0,0
2021-04-17,2009,0,0,2004,5,0,0,0,0
2021-04-18,2009,0,0,2004,5,0,0,0,0
2021-04-19,2009,0,0,2004,5,0,0,0,0
2021-04-20,2009,0,0,2004,5,0,0,0,0
2021-04-21,2009,0,0,2004,5,0,0,0,0
2021-04-22,2009,0,0,2004,5,0,0,0,0
2021-04-23,2009,0,0,2004,5,0,0,0,0
2021-04-24,2009,0,0,2004,5,0,0,0,0
2021-04-25,2009,0,0,2004,5,0,0,0,0
2021-04-26,2009,0,0,2004,5,0,0,0,0
2021-04-27,2009,0,0,2004,5,0,0,0,0
2021-04-28,2009,0,0,2004,5,0,0,0,0
2021-04-29,2009,0,0,2004,5,0,0,0,0
2021-04-30,2009,0,0,2004,5,0,0,0,0
2021-05-01,2009,0,0,2004,5,0,0,0,0
2021-05-02,2009,0,0,2004,5,0,0,0,0
2021-05-03,2009,0,0,2004,5,0,0,0,0
2021-05-04,2009,0,0,2004,5,0,0,0,0
2021-05-05,2009,0,0,2004,5,0,0,0,0
2021-05-06,2009,0,0,2004,5,0,0,0,0
2021-05-07,2009,0,0,2004,5,0,0,0,0
2021-05-08,2009,0,0,2004,5,0,0,0,0
2021-05-09,2009,0,0,2004,5,0,0,0,0
2021-05-10,2009,0,0,2004,5,0,0,0,0
2021-05-11,2009,0,0,2004,5,0,0,0,0
2021-05-12,2009,0,0,2004,5,0,0,0,0
2021-05-13,2009,0,0,2004,5,0,0,0,0
2021-05-14,2009,0,0,2004,5,0,0,0,0
2021-05-15,2009,0,0,2004,5,0,0,0,0
2021-05-16,2009,0,0,2004,5,0,0,0,0
2021-05-17,2009,0,0,2004,5,0,0,0,0
2021-05-18,2009,0,0,2004,5,0,0,0,0
2021-05-19,2009,0,0,2004,5,0,0,0,0
2021-05-20,2009,0,0,2004,5,0,0,0,0
2021-05-21,2009,0,0,2004,5,0,0,0,0
2021-05-22,2009,0,0,2004,5,0,0,0,0
2021-05-23,2009,0,0,2004,5,0,0,0,0
2021-05-24,2009,0,0,2004,5,0,0,0,0
2021-05-25,2009,0,0,2004,5,0,0,0,0
2021-05-26,2009,0,0,2004,5,0,0,0,0
2021-05-27,2009,0,0,2004,5,0,0,0,0
2021-05-28,2009,0,0,2004,5,0,0,0,0
2021-05-29,2009,0,0,2004,5,0,0,0,0
2021-05-30,2009,0,0,2004,5,0,0,0,0
2021-05-31,2009,0,0,2004,5,0,0,0,0
2021-06-01,2009,0,0,2004,5,0,0,0,0
2021-06-02,2009,0,0,2004,5,0,0,0,0
2021-06-03,2009,0,0,2004,5,0,0,0,0
2021-06-04,2009,0,0,2004,5,0,0,0,0
2021-06-05,2009,0,0,2004,5,0,0,0,0
2021-06-06,2009,0,0,2004,5,0,0,0,0
2021-06-07,2009,0,0,2004,5,0,0,0,0
2021-06-08,2009,0,0,2004,5,0,0,0,0
2021-06-09,2009,0,0,2004,5,0,0,0,0
2021-06-10,2009,0,0,2004,5,0,0,0,0
2021-06-11,2009,0,0,2004,5,0,0,0,0
2021-06-12,2009,0,0,2004,5,0,0,0,0
2021-06-13,2009,0,0,2004,5,0,0,0,0
2021-06-14,2009,0,0,2004,5,0,0,0,0
2021-06-15,2009,0,0,2004,5,0,0,0,0
2021-06-16,2009,0,0,2004,5,0,0,0,0
2021-06-17,2009,0,0,2004,5,0,0,0,0
2021-06-18,2009,0,0,2004,5,0,0,0,0
2021-06-19,2009,0,0,2004,5,0,0,0,0
2021-06-20,2009,0,0,2004,5,0,0,0,0
