Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-09-18,151,0,0,150,1,0,0,0,0
2020-09-19,151,0,0,150,1,0,0,0,0
2020-09-20,151,0,0,150,1,0,0,0,0
2020-09-21,151,0,0,150,1,0,0,0,0
2020-09-22,151,0,0,150,1,0,0,0,0
2020-09-23,151,0,0,150,1,0,0,0,0
2020-09-24,151,0,0,150,1,0,0,0,0
2020-09-25,151,0,0,150,1,0,0,0,0
2020-09-26,151,0,0,150,1,0,0,0,0
2020-09-27,151,0,0,150,1,0,0,0,0
2020-09-28,151,0,0,150,1,0,0,0,0
2020-09-29,151,0,0,150,1,0,0,0,0
2020-09-30,151,0,0,150,1,0,0,0,0
2020-10-01,151,0,0,150,1,0,0,0,0
2020-10-02,151,0,0,150,1,0,0,0,0
2020-10-03,151,0,0,150,1,0,0,0,0
2020-10-04,151,0,0,150,1,0,0,0,0
2020-10-05,151,0,0,150,1,0,0,0,0
2020-10-06,151,0,0,150,1,0,0,0,0
2020-10-07,151,0,0,150,1,0,0,0,0
2020-10-08,151,0,0,150,1,0,0,0,0
2020-10-09,151,0,0,150,1,0,0,0,0
2020-10-10,151,0,0,150,1,0,0,0,0
2020-10-11,151,0,0,150,1,0,0,0,0
2020-10-12,151,0,0,150,1,0,0,0,0
2020-10-13,151,0,0,150,1,0,0,0,0
2020-10-14,151,0,0,150,1,0,0,0,0
2020-10-15,151,0,0,150,1,0,0,0,0
2020-10-16,151,0,0,150,1,0,0,0,0
2020-10-17,151,0,0,150,1,0,0,0,0
2020-10-18,151,0,0,150,1,0,0,0,0
2020-10-19,151,0,0,150,1,0,0,0,0
2020-10-20,151,0,0,150,1,0,0,0,0
2020-10-21,151,0,0,150,1,0,0,0,0
2020-10-22,151,0,0,150,1,0,0,0,0
2020-10-23,151,0,0,150,1,0,0,0,0
2020-10-24,151,0,0,150,1,0,0,0,0
2020-10-25,151,0,0,150,1,0,0,0,0
2020-10-26,151,0,0,150,1,0,0,0,0
2020-10-27,151,0,0,150,1,0,0,0,0
2020-10-28,151,0,0,150,1,0,0,0,0
2020-10-29,151,0,0,150,1,0,0,0,0
2020-10-30,151,0,0,150,1,0,0,0,0
2020-10-31,151,0,0,150,1,0,0,0,0
2020-11-01,151,0,0,150,1,0,0,0,0
2020-11-02,151,0,0,150,1,0,0,0,0
2020-11-03,151,0,0,150,1,0,0,0,0
2020-11-04,151,0,0,150,1,0,0,0,0
2020-11-05,151,0,0,150,1,0,0,0,0
2020-11-06,151,0,0,150,1,0,0,0,0
2020-11-07,151,0,0,150,1,0,0,0,0
2020-11-08,151,0,0,150,1,0,0,0,0
2020-11-09,151,0,0,150,1,0,0,0,0
2020-11-10,151,0,0,150,1,0,0,0,0
2020-11-11,151,0,0,150,1,0,0,0,0
2020-11-12,151,0,0,150,1,0,0,0,0
2020-11-13,151,0,0,150,1,0,0,0,0
2020-11-14,151,0,0,150,1,0,0,0,0
2020-11-15,151,0,0,150,1,0,0,0,0
2020-11-16,151,0,0,150,1,0,0,0,0
2020-11-17,151,0,0,150,1,0,0,0,0
2020-11-18,151,0,0,150,1,0,0,0,0
2020-11-19,151,0,0,150,1,0,0,0,0
2020-11-20,151,0,0,150,1,0,0,0,0
2020-11-21,151,0,0,150,1,0,0,0,0
2020-11-22,151,0,0,150,1,0,0,0,0
2020-11-23,151,0,0,150,1,0,0,0,0
2020-11-24,151,0,0,150,1,0,0,0,0
2020-11-25,151,0,0,150,1,0,0,0,0
2020-11-26,151,0,0,150,1,0,0,0,0
2020-11-27,151,0,0,150,1,0,0,0,0
2020-11-28,151,0,0,150,1,0,0,0,0
2020-11-29,151,0,0,150,1,0,0,0,0
2020-11-30,151,0,0,150,1,0,0,0,0
2020-12-01,151,0,0,150,1,0,0,0,0
2020-12-02,151,0,0,150,1,0,0,0,0
2020-12-03,151,0,0,150,1,0,0,0,0
2020-12-04,151,0,0,150,1,0,0,0,0
2020-12-05,151,0,0,150,1,0,0,0,0
2020-12-06,151,0,0,150,1,0,0,0,0
2020-12-07,151,0,0,150,1,0,0,0,0
2020-12-08,151,0,0,150,1,0,0,0,0
2020-12-09,151,0,0,150,1,0,0,0,0
2020-12-10,151,0,0,150,1,0,0,0,0
2020-12-11,151,0,0,150,1,0,0,0,0
2020-12-12,151,0,0,150,1,0,0,0,0
2020-12-13,151,0,0,150,1,0,0,0,0
2020-12-14,151,0,0,150,1,0,0,0,0
2020-12-15,151,0,0,150,1,0,0,0,0
2020-12-16,151,0,0,150,1,0,0,0,0
2020-12-17,151,0,0,150,1,0,0,0,0
2020-12-18,151,0,0,150,1,0,0,0,0
2020-12-19,151,0,0,150,1,0,0,0,0
2020-12-20,151,0,0,150,1,0,0,0,0
2020-12-21,151,0,0,150,1,0,0,0,0
2020-12-22,151,0,0,150,1,0,0,0,0
2020-12-23,151,0,0,150,1,0,0,0,0
2020-12-24,151,0,0,150,1,0,0,0,0
2020-12-25,151,0,0,150,1,0,0,0,0
2020-12-26,151,0,0,150,1,0,0,0,0
2020-12-27,151,0,0,150,1,0,0,0,0
2020-12-28,151,0,0,150,1,0,0,0,0
2020-12-29,151,0,0,150,1,0,0,0,0
2020-12-30,151,0,0,150,1,0,0,0,0
2020-12-31,151,0,0,150,1,0,0,0,0
2021-01-01,151,0,0,150,1,0,0,0,0
2021-01-02,151,0,0,150,1,0,0,0,0
2021-01-03,151,0,0,150,1,0,0,0,0
2021-01-04,151,0,0,150,1,0,0,0,0
2021-01-05,151,0,0,150,1,0,0,0,0
2021-01-06,151,0,0,150,1,0,0,0,0
2021-01-07,151,0,0,150,1,0,0,0,0
2021-01-08,151,0,0,150,1,0,0,0,0
2021-01-09,151,0,0,150,1,0,0,0,0
2021-01-10,151,0,0,150,1,0,0,0,0
2021-01-11,151,0,0,150,1,0,0,0,0
2021-01-12,151,0,0,150,1,0,0,0,0
2021-01-13,151,0,0,150,1,0,0,0,0
2021-01-14,151,0,0,150,1,0,0,0,0
2021-01-15,151,0,0,150,1,0,0,0,0
2021-01-16,151,0,0,150,1,0,0,0,0
2021-01-17,151,0,0,150,1,0,0,0,0
2021-01-18,151,0,0,150,1,0,0,0,0
2021-01-19,151,0,0,150,1,0,0,0,0
2021-01-20,151,0,0,150,1,0,0,0,0
2021-01-21,151,0,0,150,1,0,0,0,0
2021-01-22,151,0,0,150,1,0,0,0,0
2021-01-23,151,0,0,150,1,0,0,0,0
2021-01-24,151,0,0,150,1,0,0,0,0
2021-01-25,151,0,0,150,1,0,0,0,0
2021-01-26,151,0,0,150,1,0,0,0,0
2021-01-27,151,0,0,150,1,0,0,0,0
2021-01-28,151,0,0,150,1,0,0,0,0
2021-01-29,151,0,0,150,1,0,0,0,0
2021-01-30,151,0,0,150,1,0,0,0,0
2021-01-31,151,0,0,150,1,0,0,0,0
2021-02-01,151,0,0,150,1,0,0,0,0
2021-02-02,151,0,0,150,1,0,0,0,0
2021-02-03,151,0,0,150,1,0,0,0,0
2021-02-04,151,0,0,150,1,0,0,0,0
2021-02-05,151,0,0,150,1,0,0,0,0
2021-02-06,151,0,0,150,1,0,0,0,0
2021-02-07,151,0,0,150,1,0,0,0,0
2021-02-08,151,0,0,150,1,0,0,0,0
2021-02-09,151,0,0,150,1,0,0,0,0
2021-02-10,151,0,0,150,1,0,0,0,0
2021-02-11,151,0,0,150,1,0,0,0,0
2021-02-12,151,0,0,150,1,0,0,0,0
2021-02-13,151,0,0,150,1,0,0,0,0
2021-02-14,151,0,0,150,1,0,0,0,0
2021-02-15,151,0,0,150,1,0,0,0,0
2021-02-16,151,0,0,150,1,0,0,0,0
2021-02-17,151,0,0,150,1,0,0,0,0
2021-02-18,151,0,0,150,1,0,0,0,0
2021-02-19,151,0,0,150,1,0,0,0,0
2021-02-20,151,0,0,150,1,0,0,0,0
2021-02-21,151,0,0,150,1,0,0,0,0
2021-02-22,151,0,0,150,1,0,0,0,0
2021-02-23,151,0,0,150,1,0,0,0,0
2021-02-24,151,0,0,150,1,0,0,0,0
2021-02-25,151,0,0,150,1,0,0,0,0
2021-02-26,151,0,0,150,1,0,0,0,0
2021-02-27,151,0,0,150,1,0,0,0,0
2021-02-28,151,0,0,150,1,0,0,0,0
2021-03-01,151,0,0,150,1,0,0,0,0
2021-03-02,151,0,0,150,1,0,0,0,0
2021-03-03,151,0,0,150,1,0,0,0,0
2021-03-04,151,0,0,150,1,0,0,0,0
2021-03-05,151,0,0,150,1,0,0,0,0
2021-03-06,151,0,0,150,1,0,0,0,0
2021-03-07,151,0,0,150,1,0,0,0,0
2021-03-08,151,0,0,150,1,0,0,0,0
2021-03-09,151,0,0,150,1,0,0,0,0
2021-03-10,151,0,0,150,1,0,0,0,0
2021-03-11,151,0,0,150,1,0,0,0,0
2021-03-12,151,0,0,150,1,0,0,0,0
2021-03-13,151,0,0,150,1,0,0,0,0
2021-03-14,151,0,0,150,1,0,0,0,0
2021-03-15,151,0,0,150,1,0,0,0,0
2021-03-16,151,0,0,150,1,0,0,0,0
2021-03-17,151,0,0,150,1,0,0,0,0
2021-03-18,151,0,0,150,1,0,0,0,0
2021-03-19,151,0,0,150,1,0,0,0,0
2021-03-20,151,0,0,150,1,0,0,0,0
2021-03-21,151,0,0,150,1,0,0,0,0
2021-03-22,151,0,0,150,1,0,0,0,0
2021-03-23,151,0,0,150,1,0,0,0,0
2021-03-24,151,0,0,150,1,0,0,0,0
2021-03-25,151,0,0,150,1,0,0,0,0
2021-03-26,151,0,0,150,1,0,0,0,0
2021-03-27,151,0,0,150,1,0,0,0,0
2021-03-28,151,0,0,150,1,0,0,0,0
2021-03-29,151,0,0,150,1,0,0,0,0
2021-03-30,151,0,0,150,1,0,0,0,0
2021-03-31,151,0,0,150,1,0,0,0,0
2021-04-01,151,0,0,150,1,0,0,0,0
2021-04-02,151,0,0,150,1,0,0,0,0
2021-04-03,151,0,0,150,1,0,0,0,0
2021-04-04,151,0,0,150,1,0,0,0,0
2021-04-05,151,0,0,150,1,0,0,0,0
2021-04-06,151,0,0,150,1,0,0,0,0
2021-04-07,151,0,0,150,1,0,0,0,0
2021-04-08,151,0,0,150,1,0,0,0,0
2021-04-09,151,0,0,150,1,0,0,0,0
2021-04-10,151,0,0,150,1,0,0,0,0
2021-04-11,151,0,0,150,1,0,0,0,0
2021-04-12,151,0,0,150,1,0,0,0,0
2021-04-13,151,0,0,150,1,0,0,0,0
2021-04-14,151,0,0,150,1,0,0,0,0
2021-04-15,151,0,0,150,1,0,0,0,0
2021-04-16,151,0,0,150,1,0,0,0,0
2021-04-17,151,0,0,150,1,0,0,0,0
2021-04-18,151,0,0,150,1,0,0,0,0
2021-04-19,151,0,0,150,1,0,0,0,0
2021-04-20,151,0,0,150,1,0,0,0,0
2021-04-21,151,0,0,150,1,0,0,0,0
2021-04-22,151,0,0,150,1,0,0,0,0
2021-04-23,151,0,0,150,1,0,0,0,0
2021-04-24,151,0,0,150,1,0,0,0,0
2021-04-25,151,0,0,150,1,0,0,0,0
2021-04-26,151,0,0,150,1,0,0,0,0
2021-04-27,151,0,0,150,1,0,0,0,0
2021-04-28,151,0,0,150,1,0,0,0,0
2021-04-29,151,0,0,150,1,0,0,0,0
2021-04-30,151,0,0,150,1,0,0,0,0
2021-05-01,151,0,0,150,1,0,0,0,0
2021-05-02,151,0,0,150,1,0,0,0,0
2021-05-03,151,0,0,150,1,0,0,0,0
2021-05-04,151,0,0,150,1,0,0,0,0
2021-05-05,151,0,0,150,1,0,0,0,0
2021-05-06,151,0,0,150,1,0,0,0,0
2021-05-07,151,0,0,150,1,0,0,0,0
2021-05-08,151,0,0,150,1,0,0,0,0
2021-05-09,151,0,0,150,1,0,0,0,0
2021-05-10,151,0,0,150,1,0,0,0,0
2021-05-11,151,0,0,150,1,0,0,0,0
2021-05-12,151,0,0,150,1,0,0,0,0
2021-05-13,151,0,0,150,1,0,0,0,0
2021-05-14,151,0,0,150,1,0,0,0,0
2021-05-15,151,0,0,150,1,0,0,0,0
2021-05-16,151,0,0,150,1,0,0,0,0
2021-05-17,151,0,0,150,1,0,0,0,0
2021-05-18,151,0,0,150,1,0,0,0,0
2021-05-19,151,0,0,150,1,0,0,0,0
2021-05-20,151,0,0,150,1,0,0,0,0
2021-05-21,151,0,0,150,1,0,0,0,0
2021-05-22,151,0,0,150,1,0,0,0,0
2021-05-23,151,0,0,150,1,0,0,0,0
2021-05-24,151,0,0,150,1,0,0,0,0
2021-05-25,151,0,0,150,1,0,0,0,0
2021-05-26,151,0,0,150,1,0,0,0,0
2021-05-27,151,0,0,150,1,0,0,0,0
2021-05-28,151,0,0,150,1,0,0,0,0
2021-05-29,151,0,0,150,1,0,0,0,0
2021-05-30,151,0,0,150,1,0,0,0,0
2021-05-31,151,0,0,150,1,0,0,0,0
2021-06-01,151,0,0,150,1,0,0,0,0
2021-06-02,151,0,0,150,1,0,0,0,0
2021-06-03,151,0,0,150,1,0,0,0,0
2021-06-04,151,0,0,150,1,0,0,0,0
2021-06-05,151,0,0,150,1,0,0,0,0
2021-06-06,151,0,0,150,1,0,0,0,0
2021-06-07,151,0,0,150,1,0,0,0,0
2021-06-08,151,0,0,150,1,0,0,0,0
2021-06-09,151,0,0,150,1,0,0,0,0
2021-06-10,151,0,0,150,1,0,0,0,0
2021-06-11,151,0,0,150,1,0,0,0,0
2021-06-12,151,0,0,150,1,0,0,0,0
2021-06-13,151,0,0,150,1,0,0,0,0
2021-06-14,151,0,0,150,1,0,0,0,0
2021-06-15,151,0,0,150,1,0,0,0,0
2021-06-16,151,0,0,150,1,0,0,0,0
2021-06-17,151,0,0,150,1,0,0,0,0
2021-06-18,151,0,0,150,1,0,0,0,0
2021-06-19,151,0,0,150,1,0,0,0,0
2021-06-20,151,0,0,150,1,0,0,0,0
2021-06-21,151,0,0,150,1,0,0,0,0
2021-06-22,151,0,0,150,1,0,0,0,0
2021-06-23,151,0,0,150,1,0,0,0,0
2021-06-24,151,0,0,150,1,0,0,0,0
2021-06-25,151,0,0,150,1,0,0,0,0
2021-06-26,151,0,0,150,1,0,0,0,0
2021-06-27,151,0,0,150,1,0,0,0,0
2021-06-28,151,0,0,150,1,0,0,0,0
2021-06-29,151,0,0,150,1,0,0,0,0
2021-06-30,151,0,0,150,1,0,0,0,0
2021-07-01,151,0,0,150,1,0,0,0,0
2021-07-02,151,0,0,150,1,0,0,0,0
2021-07-03,151,0,0,150,1,0,0,0,0
2021-07-04,151,0,0,150,1,0,0,0,0
2021-07-05,151,0,0,150,1,0,0,0,0
2021-07-06,151,0,0,150,1,0,0,0,0
2021-07-07,151,0,0,150,1,0,0,0,0
2021-07-08,151,0,0,150,1,0,0,0,0
2021-07-09,151,0,0,150,1,0,0,0,0
