Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2021-01-09,2023,0,0,2018,5,0,0,0,0
2021-01-10,2023,0,0,2018,5,0,0,0,0
2021-01-11,2023,0,0,2018,5,0,0,0,0
2021-01-12,2023,0,0,2018,5,0,0,0,0
2021-01-13,2023,0,0,2018,5,0,0,0,0
2021-01-14,2023,0,0,2018,5,0,0,0,0
2021-01-15,2023,0,0,2018,5,0,0,0,0
2021-01-16,2023,0,0,2018,5,0,0,0,0
2021-01-17,2023,0,0,2018,5,0,0,0,0
2021-01-18,2023,0,0,2018,5,0,0,0,0
2021-01-19,2023,0,0,2018,5,0,0,0,0
2021-01-20,2023,0,0,2018,5,0,0,0,0
2021-01-21,2023,0,0,2018,5,0,0,0,0
2021-01-22,2023,0,0,2018,5,0,0,0,0
2021-01-23,2023,0,0,2018,5,0,0,0,0
2021-01-24,2023,0,0,2018,5,0,0,0,0
2021-01-25,2023,0,0,2018,5,0,0,0,0
2021-01-26,2023,0,0,2018,5,0,0,0,0
2021-01-27,2023,0,0,2018,5,0,0,0,0
2021-01-28,2023,0,0,2018,5,0,0,0,0
2021-01-29,2023,0,0,2018,5,0,0,0,0
2021-01-30,2023,0,0,2018,5,0,0,0,0
2021-01-31,2023,0,0,2018,5,0,0,0,0
2021-02-01,2023,0,0,2018,5,0,0,0,0
2021-02-02,2023,0,0,2018,5,0,0,0,0
2021-02-03,2023,0,0,2018,5,0,0,0,0
2021-02-04,2023,0,0,2018,5,0,0,0,0
2021-02-05,2023,0,0,2018,5,0,0,0,0
2021-02-06,2023,0,0,2018,5,0,0,0,0
2021-02-07,2023,0,0,2018,5,0,0,0,0
2021-02-08,2023,0,0,2018,5,0,0,0,0
2021-02-09,2023,0,0,2018,5,0,0,0,0
2021-02-10,2023,0,0,2018,5,0,0,0,0
2021-02-11,2023,0,0,2018,5,0,0,0,0
2021-02-12,2023,0,0,2018,5,0,0,0,0
2021-02-13,2023,0,0,2018,5,0,0,0,0
2021-02-14,2023,0,0,2018,5,0,0,0,0
2021-02-15,2023,0,0,2018,5,0,0,0,0
2021-02-16,2023,0,0,2018,5,0,0,0,0
2021-02-17,2023,0,0,2018,5,0,0,0,0
2021-02-18,2023,0,0,2018,5,0,0,0,0
2021-02-19,2023,0,0,2018,5,0,0,0,0
2021-02-20,2023,0,0,2018,5,0,0,0,0
2021-02-21,2023,0,0,2018,5,0,0,0,0
2021-02-22,2023,0,0,2018,5,0,0,0,0
2021-02-23,2023,0,0,2018,5,0,0,0,0
2021-02-24,2023,0,0,2018,5,0,0,0,0
2021-02-25,2023,0,0,2018,5,0,0,0,0
2021-02-26,2023,0,0,2018,5,0,0,0,0
2021-02-27,2023,0,0,2018,5,0,0,0,0
2021-02-28,2023,0,0,2018,5,0,0,0,0
2021-03-01,2023,0,0,2018,5,0,0,0,0
2021-03-02,2023,0,0,2018,5,0,0,0,0
2021-03-03,2023,0,0,2018,5,0,0,0,0
2021-03-04,2023,0,0,2018,5,0,0,0,0
2021-03-05,2023,0,0,2018,5,0,0,0,0
2021-03-06,2023,0,0,2018,5,0,0,0,0
2021-03-07,2023,0,0,2018,5,0,0,0,0
2021-03-08,2023,0,0,2018,5,0,0,0,0
2021-03-09,2023,0,0,2018,5,0,0,0,0
2021-03-10,2023,0,0,2018,5,0,0,0,0
2021-03-11,2023,0,0,2018,5,0,0,0,0
2021-03-12,2023,0,0,2018,5,0,0,0,0
2021-03-13,2023,0,0,2018,5,0,0,0,0
2021-03-14,2023,0,0,2018,5,0,0,0,0
2021-03-15,2023,0,0,2018,5,0,0,0,0
2021-03-16,2023,0,0,2018,5,0,0,0,0
2021-03-17,2023,0,0,2018,5,0,0,0,0
2021-03-18,2023,0,0,2018,5,0,0,0,0
2021-03-19,2023,0,0,2018,5,0,0,0,0
2021-03-20,2023,0,0,2018,5,0,0,0,0
2021-03-21,2023,0,0,2018,5,0,0,0,0
2021-03-22,2023,0,0,2018,5,0,0,0,0
2021-03-23,2023,0,0,2018,5,0,0,0,0
2021-03-24,2023,0,0,2018,5,0,0,0,0
2021-03-25,2023,0,0,2018,5,0,0,0,0
2021-03-26,2023,0,0,2018,5,0,0,0,0
2021-03-27,2023,0,0,2018,5,0,0,0,0
2021-03-28,2023,0,0,2018,5,0,0,0,0
2021-03-29,2023,0,0,2018,5,0,0,0,0
2021-03-30,2023,0,0,2018,5,0,0,0,0
2021-03-31,2023,0,0,2018,5,0,0,0,0
2021-04-01,2023,0,0,2018,5,0,0,0,0
2021-04-02,2023,0,0,2018,5,0,0,0,0
2021-04-03,2023,0,0,2018,5,0,0,0,0
2021-04-04,2023,0,0,2018,5,0,0,0,0
2021-04-05,2023,0,0,2018,5,0,0,0,0
2021-04-06,2023,0,0,2018,5,0,0,0,0
2021-04-07,2023,0,0,2018,5,0,0,0,0
2021-04-08,2023,0,0,2018,5,0,0,0,0
2021-04-09,2023,0,0,2018,5,0,0,0,0
2021-04-10,2023,0,0,2018,5,0,0,0,0
2021-04-11,2023,0,0,2018,5,0,0,0,0
2021-04-12,2023,0,0,2018,5,0,0,0,0
2021-04-13,2023,0,0,2018,5,0,0,0,0
2021-04-14,2023,0,0,2018,5,0,0,0,0
2021-04-15,2023,0,0,2018,5,0,0,0,0
2021-04-16,2023,0,0,2018,5,0,0,0,0
2021-04-17,2023,0,0,2018,5,0,0,0,0
2021-04-18,2023,0,0,2018,5,0,0,0,0
2021-04-19,2023,0,0,2018,5,0,0,0,0
2021-04-20,2023,0,0,2018,5,0,0,0,0
2021-04-21,2023,0,0,2018,5,0,0,0,0
2021-04-22,2023,0,0,2018,5,0,0,0,0
2021-04-23,2023,0,0,2018,5,0,0,0,0
2021-04-24,2023,0,0,2018,5,0,0,0,0
2021-04-25,2023,0,0,2018,5,0,0,0,0
2021-04-26,2023,0,0,2018,5,0,0,0,0
2021-04-27,2023,0,0,2018,5,0,0,0,0
2021-04-28,2023,0,0,2018,5,0,0,0,0
2021-04-29,2023,0,0,2018,5,0,0,0,0
2021-04-30,2023,0,0,2018,5,0,0,0,0
2021-05-01,2023,0,0,2018,5,0,0,0,0
2021-05-02,2023,0,0,2018,5,0,0,0,0
2021-05-03,2023,0,0,2018,5,0,0,0,0
2021-05-04,2023,0,0,2018,5,0,0,0,0
2021-05-05,2023,0,0,2018,5,0,0,0,0
2021-05-06,2023,0,0,2018,5,0,0,0,0
2021-05-07,2023,0,0,2018,5,0,0,0,0
2021-05-08,2023,0,0,2018,5,0,0,0,0
2021-05-09,2023,0,0,2018,5,0,0,0,0
2021-05-10,2023,0,0,2018,5,0,0,0,0
2021-05-11,2023,0,0,2018,5,0,0,0,0
2021-05-12,2023,0,0,2018,5,0,0,0,0
2021-05-13,2023,0,0,2018,5,0,0,0,0
2021-05-14,2023,0,0,2018,5,0,0,0,0
2021-05-15,2023,0,0,2018,5,0,0,0,0
2021-05-16,2023,0,0,2018,5,0,0,0,0
2021-05-17,2023,0,0,2018,5,0,0,0,0
2021-05-18,2023,0,0,2018,5,0,0,0,0
2021-05-19,2023,0,0,2018,5,0,0,0,0
2021-05-20,2023,0,0,2018,5,0,0,0,0
2021-05-21,2023,0,0,2018,5,0,0,0,0
2021-05-22,2023,0,0,2018,5,0,0,0,0
2021-05-23,2023,0,0,2018,5,0,0,0,0
2021-05-24,2023,0,0,2018,5,0,0,0,0
2021-05-25,2023,0,0,2018,5,0,0,0,0
2021-05-26,2023,0,0,2018,5,0,0,0,0
2021-05-27,2023,0,0,2018,5,0,0,0,0
2021-05-28,2023,0,0,2018,5,0,0,0,0
2021-05-29,2023,0,0,2018,5,0,0,0,0
2021-05-30,2023,0,0,2018,5,0,0,0,0
2021-05-31,2023,0,0,2018,5,0,0,0,0
2021-06-01,2023,0,0,2018,5,0,0,0,0
2021-06-02,2023,0,0,2018,5,0,0,0,0
2021-06-03,2023,0,0,2018,5,0,0,0,0
2021-06-04,2023,0,0,2018,5,0,0,0,0
2021-06-05,2023,0,0,2018,5,0,0,0,0
2021-06-06,2023,0,0,2018,5,0,0,0,0
2021-06-07,2023,0,0,2018,5,0,0,0,0
2021-06-08,2023,0,0,2018,5,0,0,0,0
2021-06-09,2023,0,0,2018,5,0,0,0,0
2021-06-10,2023,0,0,2018,5,0,0,0,0
2021-06-11,2023,0,0,2018,5,0,0,0,0
2021-06-12,2023,0,0,2018,5,0,0,0,0
2021-06-13,2023,0,0,2018,5,0,0,0,0
2021-06-14,2023,0,0,2018,5,0,0,0,0
2021-06-15,2023,0,0,2018,5,0,0,0,0
2021-06-16,2023,0,0,2018,5,0,0,0,0
2021-06-17,2023,0,0,2018,5,0,0,0,0
2021-06-18,2023,0,0,2018,5,0,0,0,0
2021-06-19,2023,0,0,2018,5,0,0,0,0
2021-06-20,2023,0,0,2018,5,0,0,0,0
2021-06-21,2023,0,0,2018,5,0,0,0,0
2021-06-22,2023,0,0,2018,5,0,0,0,0
