Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-12-03,2775,2,15,2747,13,0,0,1,0
2020-12-04,2775,2,14,2748,13,0,0,1,0
2020-12-05,2775,2,13,2749,13,0,0,1,0
2020-12-06,2776,2,12,2751,13,0,0,1,0
2020-12-07,2777,2,12,2752,13,0,0,1,0
2020-12-08,2777,2,11,2753,13,0,0,1,0
2020-12-09,2777,2,10,2754,13,0,0,1,0
2020-12-10,2778,1,10,2755,13,0,0,1,0
2020-12-11,2778,1,9,2756,13,0,0,1,0
2020-12-12,2778,1,9,2756,13,0,0,1,0
2020-12-13,2778,1,8,2757,13,0,0,1,0
2020-12-14,2779,1,8,2758,13,0,0,1,0
2020-12-15,2778,1,7,2758,13,0,0,1,0
2020-12-16,2779,1,7,2759,13,0,0,1,0
2020-12-17,2779,1,6,2760,13,0,0,1,0
2020-12-18,2779,1,6,2760,13,0,0,1,0
2020-12-19,2779,1,5,2761,13,0,0,0,0
2020-12-20,2779,1,5,2761,13,0,0,0,0
2020-12-21,2780,1,5,2762,13,0,0,0,0
2020-12-22,2780,1,5,2762,13,0,0,0,0
2020-12-23,2779,1,4,2762,13,0,0,0,0
2020-12-24,2780,1,4,2763,13,0,0,0,0
2020-12-25,2780,1,4,2763,13,0,0,0,0
2020-12-26,2781,1,4,2764,13,0,0,0,0
2020-12-27,2780,0,3,2764,13,0,0,0,0
2020-12-28,2780,0,3,2764,13,0,0,0,0
2020-12-29,2780,0,3,2764,13,0,0,0,0
2020-12-30,2781,0,3,2765,13,0,0,0,0
2020-12-31,2781,0,3,2765,13,0,0,0,0
2021-01-01,2780,0,2,2765,13,0,0,0,0
2021-01-02,2780,0,2,2765,13,0,0,0,0
2021-01-03,2781,0,2,2766,13,0,0,0,0
2021-01-04,2781,0,2,2766,13,0,0,0,0
2021-01-05,2781,0,2,2766,13,0,0,0,0
2021-01-06,2781,0,2,2766,13,0,0,0,0
2021-01-07,2781,0,2,2766,13,0,0,0,0
2021-01-08,2781,0,2,2766,13,0,0,0,0
2021-01-09,2781,0,1,2767,13,0,0,0,0
2021-01-10,2781,0,1,2767,13,0,0,0,0
2021-01-11,2781,0,1,2767,13,0,0,0,0
2021-01-12,2781,0,1,2767,13,0,0,0,0
2021-01-13,2781,0,1,2767,13,0,0,0,0
2021-01-14,2781,0,1,2767,13,0,0,0,0
2021-01-15,2781,0,1,2767,13,0,0,0,0
2021-01-16,2781,0,1,2767,13,0,0,0,0
2021-01-17,2781,0,1,2767,13,0,0,0,0
2021-01-18,2781,0,1,2767,13,0,0,0,0
2021-01-19,2781,0,1,2767,13,0,0,0,0
2021-01-20,2782,0,1,2768,13,0,0,0,0
2021-01-21,2782,0,1,2768,13,0,0,0,0
2021-01-22,2782,0,1,2768,13,0,0,0,0
2021-01-23,2782,0,1,2768,13,0,0,0,0
2021-01-24,2782,0,1,2768,13,0,0,0,0
2021-01-25,2782,0,1,2768,13,0,0,0,0
2021-01-26,2781,0,0,2768,13,0,0,0,0
2021-01-27,2781,0,0,2768,13,0,0,0,0
2021-01-28,2781,0,0,2768,13,0,0,0,0
2021-01-29,2781,0,0,2768,13,0,0,0,0
2021-01-30,2781,0,0,2768,13,0,0,0,0
2021-01-31,2781,0,0,2768,13,0,0,0,0
2021-02-01,2781,0,0,2768,13,0,0,0,0
2021-02-02,2781,0,0,2768,13,0,0,0,0
2021-02-03,2781,0,0,2768,13,0,0,0,0
2021-02-04,2781,0,0,2768,13,0,0,0,0
2021-02-05,2781,0,0,2768,13,0,0,0,0
2021-02-06,2781,0,0,2768,13,0,0,0,0
2021-02-07,2781,0,0,2768,13,0,0,0,0
2021-02-08,2781,0,0,2768,13,0,0,0,0
2021-02-09,2781,0,0,2768,13,0,0,0,0
2021-02-10,2781,0,0,2768,13,0,0,0,0
2021-02-11,2781,0,0,2768,13,0,0,0,0
2021-02-12,2781,0,0,2768,13,0,0,0,0
2021-02-13,2781,0,0,2768,13,0,0,0,0
2021-02-14,2781,0,0,2768,13,0,0,0,0
2021-02-15,2781,0,0,2768,13,0,0,0,0
2021-02-16,2781,0,0,2768,13,0,0,0,0
2021-02-17,2781,0,0,2768,13,0,0,0,0
2021-02-18,2781,0,0,2768,13,0,0,0,0
2021-02-19,2781,0,0,2768,13,0,0,0,0
2021-02-20,2781,0,0,2768,13,0,0,0,0
2021-02-21,2781,0,0,2768,13,0,0,0,0
2021-02-22,2781,0,0,2768,13,0,0,0,0
2021-02-23,2781,0,0,2768,13,0,0,0,0
2021-02-24,2782,0,0,2769,13,0,0,0,0
2021-02-25,2782,0,0,2769,13,0,0,0,0
2021-02-26,2782,0,0,2769,13,0,0,0,0
2021-02-27,2782,0,0,2769,13,0,0,0,0
2021-02-28,2782,0,0,2769,13,0,0,0,0
2021-03-01,2782,0,0,2769,13,0,0,0,0
2021-03-02,2782,0,0,2769,13,0,0,0,0
2021-03-03,2782,0,0,2769,13,0,0,0,0
2021-03-04,2782,0,0,2769,13,0,0,0,0
2021-03-05,2782,0,0,2769,13,0,0,0,0
2021-03-06,2782,0,0,2769,13,0,0,0,0
2021-03-07,2782,0,0,2769,13,0,0,0,0
2021-03-08,2782,0,0,2769,13,0,0,0,0
2021-03-09,2782,0,0,2769,13,0,0,0,0
2021-03-10,2782,0,0,2769,13,0,0,0,0
2021-03-11,2782,0,0,2769,13,0,0,0,0
2021-03-12,2782,0,0,2769,13,0,0,0,0
2021-03-13,2782,0,0,2769,13,0,0,0,0
2021-03-14,2782,0,0,2769,13,0,0,0,0
2021-03-15,2782,0,0,2769,13,0,0,0,0
2021-03-16,2782,0,0,2769,13,0,0,0,0
2021-03-17,2782,0,0,2769,13,0,0,0,0
2021-03-18,2782,0,0,2769,13,0,0,0,0
2021-03-19,2782,0,0,2769,13,0,0,0,0
2021-03-20,2782,0,0,2769,13,0,0,0,0
2021-03-21,2782,0,0,2769,13,0,0,0,0
2021-03-22,2782,0,0,2769,13,0,0,0,0
2021-03-23,2782,0,0,2769,13,0,0,0,0
2021-03-24,2782,0,0,2769,13,0,0,0,0
2021-03-25,2782,0,0,2769,13,0,0,0,0
2021-03-26,2782,0,0,2769,13,0,0,0,0
2021-03-27,2782,0,0,2769,13,0,0,0,0
2021-03-28,2782,0,0,2769,13,0,0,0,0
2021-03-29,2782,0,0,2769,13,0,0,0,0
2021-03-30,2782,0,0,2769,13,0,0,0,0
2021-03-31,2782,0,0,2769,13,0,0,0,0
2021-04-01,2782,0,0,2769,13,0,0,0,0
2021-04-02,2782,0,0,2769,13,0,0,0,0
2021-04-03,2782,0,0,2769,13,0,0,0,0
2021-04-04,2782,0,0,2769,13,0,0,0,0
2021-04-05,2782,0,0,2769,13,0,0,0,0
2021-04-06,2782,0,0,2769,13,0,0,0,0
2021-04-07,2782,0,0,2769,13,0,0,0,0
2021-04-08,2782,0,0,2769,13,0,0,0,0
2021-04-09,2782,0,0,2769,13,0,0,0,0
2021-04-10,2782,0,0,2769,13,0,0,0,0
2021-04-11,2782,0,0,2769,13,0,0,0,0
2021-04-12,2782,0,0,2769,13,0,0,0,0
2021-04-13,2782,0,0,2769,13,0,0,0,0
2021-04-14,2782,0,0,2769,13,0,0,0,0
2021-04-15,2782,0,0,2769,13,0,0,0,0
2021-04-16,2782,0,0,2769,13,0,0,0,0
2021-04-17,2782,0,0,2769,13,0,0,0,0
2021-04-18,2782,0,0,2769,13,0,0,0,0
2021-04-19,2782,0,0,2769,13,0,0,0,0
2021-04-20,2782,0,0,2769,13,0,0,0,0
2021-04-21,2782,0,0,2769,13,0,0,0,0
2021-04-22,2782,0,0,2769,13,0,0,0,0
2021-04-23,2782,0,0,2769,13,0,0,0,0
2021-04-24,2782,0,0,2769,13,0,0,0,0
2021-04-25,2782,0,0,2769,13,0,0,0,0
2021-04-26,2782,0,0,2769,13,0,0,0,0
2021-04-27,2782,0,0,2769,13,0,0,0,0
2021-04-28,2782,0,0,2769,13,0,0,0,0
2021-04-29,2782,0,0,2769,13,0,0,0,0
2021-04-30,2782,0,0,2769,13,0,0,0,0
2021-05-01,2782,0,0,2769,13,0,0,0,0
2021-05-02,2782,0,0,2769,13,0,0,0,0
2021-05-03,2782,0,0,2769,13,0,0,0,0
2021-05-04,2782,0,0,2769,13,0,0,0,0
2021-05-05,2782,0,0,2769,13,0,0,0,0
2021-05-06,2782,0,0,2769,13,0,0,0,0
2021-05-07,2782,0,0,2769,13,0,0,0,0
2021-05-08,2782,0,0,2769,13,0,0,0,0
2021-05-09,2782,0,0,2769,13,0,0,0,0
2021-05-10,2782,0,0,2769,13,0,0,0,0
2021-05-11,2782,0,0,2769,13,0,0,0,0
2021-05-12,2782,0,0,2769,13,0,0,0,0
2021-05-13,2782,0,0,2769,13,0,0,0,0
2021-05-14,2782,0,0,2769,13,0,0,0,0
2021-05-15,2782,0,0,2769,13,0,0,0,0
2021-05-16,2782,0,0,2769,13,0,0,0,0
2021-05-17,2782,0,0,2769,13,0,0,0,0
2021-05-18,2782,0,0,2769,13,0,0,0,0
2021-05-19,2782,0,0,2769,13,0,0,0,0
2021-05-20,2782,0,0,2769,13,0,0,0,0
2021-05-21,2782,0,0,2769,13,0,0,0,0
2021-05-22,2782,0,0,2769,13,0,0,0,0
2021-05-23,2782,0,0,2769,13,0,0,0,0
2021-05-24,2782,0,0,2769,13,0,0,0,0
2021-05-25,2782,0,0,2769,13,0,0,0,0
2021-05-26,2782,0,0,2769,13,0,0,0,0
2021-05-27,2782,0,0,2769,13,0,0,0,0
2021-05-28,2782,0,0,2769,13,0,0,0,0
2021-05-29,2782,0,0,2769,13,0,0,0,0
2021-05-30,2782,0,0,2769,13,0,0,0,0
2021-05-31,2782,0,0,2769,13,0,0,0,0
2021-06-01,2782,0,0,2769,13,0,0,0,0
2021-06-02,2782,0,0,2769,13,0,0,0,0
2021-06-03,2782,0,0,2769,13,0,0,0,0
2021-06-04,2782,0,0,2769,13,0,0,0,0
2021-06-05,2782,0,0,2769,13,0,0,0,0
2021-06-06,2782,0,0,2769,13,0,0,0,0
2021-06-07,2782,0,0,2769,13,0,0,0,0
2021-06-08,2782,0,0,2769,13,0,0,0,0
2021-06-09,2782,0,0,2769,13,0,0,0,0
2021-06-10,2782,0,0,2769,13,0,0,0,0
2021-06-11,2782,0,0,2769,13,0,0,0,0
2021-06-12,2782,0,0,2769,13,0,0,0,0
2021-06-13,2782,0,0,2769,13,0,0,0,0
2021-06-14,2782,0,0,2769,13,0,0,0,0
2021-06-15,2782,0,0,2769,13,0,0,0,0
2021-06-16,2782,0,0,2769,13,0,0,0,0
2021-06-17,2782,0,0,2769,13,0,0,0,0
2021-06-18,2782,0,0,2769,13,0,0,0,0
2021-06-19,2782,0,0,2769,13,0,0,0,0
2021-06-20,2782,0,0,2769,13,0,0,0,0
2021-06-21,2782,0,0,2769,13,0,0,0,0
2021-06-22,2782,0,0,2769,13,0,0,0,0
2021-06-23,2782,0,0,2769,13,0,0,0,0
2021-06-24,2782,0,0,2769,13,0,0,0,0
2021-06-25,2782,0,0,2769,13,0,0,0,0
2021-06-26,2782,0,0,2769,13,0,0,0,0
2021-06-27,2782,0,0,2769,13,0,0,0,0
2021-06-28,2782,0,0,2769,13,0,0,0,0
2021-06-29,2782,0,0,2769,13,0,0,0,0
2021-06-30,2782,0,0,2769,13,0,0,0,0
2021-07-01,2782,0,0,2769,13,0,0,0,0
2021-07-02,2782,0,0,2769,13,0,0,0,0
2021-07-03,2782,0,0,2769,13,0,0,0,0
2021-07-04,2782,0,0,2769,13,0,0,0,0
2021-07-05,2782,0,0,2769,13,0,0,0,0
2021-07-06,2782,0,0,2769,13,0,0,0,0
2021-07-07,2782,0,0,2769,13,0,0,0,0
2021-07-08,2782,0,0,2769,13,0,0,0,0
2021-07-09,2782,0,0,2769,13,0,0,0,0
2021-07-10,2782,0,0,2769,13,0,0,0,0
2021-07-11,2782,0,0,2769,13,0,0,0,0
2021-07-12,2782,0,0,2769,13,0,0,0,0
2021-07-13,2782,0,0,2769,13,0,0,0,0
2021-07-14,2782,0,0,2769,13,0,0,0,0
