Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2021-04-07,2924,0,0,2912,12,0,0,0,0
2021-04-08,2924,0,0,2912,12,0,0,0,0
2021-04-09,2924,0,0,2912,12,0,0,0,0
2021-04-10,2924,0,0,2912,12,0,0,0,0
2021-04-11,2924,0,0,2912,12,0,0,0,0
2021-04-12,2924,0,0,2912,12,0,0,0,0
2021-04-13,2924,0,0,2912,12,0,0,0,0
2021-04-14,2924,0,0,2912,12,0,0,0,0
2021-04-15,2924,0,0,2912,12,0,0,0,0
2021-04-16,2924,0,0,2912,12,0,0,0,0
2021-04-17,2924,0,0,2912,12,0,0,0,0
2021-04-18,2924,0,0,2912,12,0,0,0,0
2021-04-19,2924,0,0,2912,12,0,0,0,0
2021-04-20,2924,0,0,2912,12,0,0,0,0
2021-04-21,2924,0,0,2912,12,0,0,0,0
2021-04-22,2924,0,0,2912,12,0,0,0,0
2021-04-23,2924,0,0,2912,12,0,0,0,0
2021-04-24,2924,0,0,2912,12,0,0,0,0
2021-04-25,2924,0,0,2912,12,0,0,0,0
2021-04-26,2924,0,0,2912,12,0,0,0,0
2021-04-27,2924,0,0,2912,12,0,0,0,0
2021-04-28,2924,0,0,2912,12,0,0,0,0
2021-04-29,2924,0,0,2912,12,0,0,0,0
2021-04-30,2924,0,0,2912,12,0,0,0,0
2021-05-01,2924,0,0,2912,12,0,0,0,0
2021-05-02,2924,0,0,2912,12,0,0,0,0
2021-05-03,2924,0,0,2912,12,0,0,0,0
2021-05-04,2924,0,0,2912,12,0,0,0,0
2021-05-05,2924,0,0,2912,12,0,0,0,0
2021-05-06,2924,0,0,2912,12,0,0,0,0
2021-05-07,2924,0,0,2912,12,0,0,0,0
2021-05-08,2924,0,0,2912,12,0,0,0,0
2021-05-09,2924,0,0,2912,12,0,0,0,0
2021-05-10,2924,0,0,2912,12,0,0,0,0
2021-05-11,2924,0,0,2912,12,0,0,0,0
2021-05-12,2924,0,0,2912,12,0,0,0,0
2021-05-13,2924,0,0,2912,12,0,0,0,0
2021-05-14,2924,0,0,2912,12,0,0,0,0
2021-05-15,2924,0,0,2912,12,0,0,0,0
2021-05-16,2924,0,0,2912,12,0,0,0,0
2021-05-17,2924,0,0,2912,12,0,0,0,0
2021-05-18,2924,0,0,2912,12,0,0,0,0
2021-05-19,2924,0,0,2912,12,0,0,0,0
2021-05-20,2924,0,0,2912,12,0,0,0,0
2021-05-21,2924,0,0,2912,12,0,0,0,0
2021-05-22,2924,0,0,2912,12,0,0,0,0
2021-05-23,2924,0,0,2912,12,0,0,0,0
2021-05-24,2924,0,0,2912,12,0,0,0,0
2021-05-25,2924,0,0,2912,12,0,0,0,0
2021-05-26,2924,0,0,2912,12,0,0,0,0
2021-05-27,2924,0,0,2912,12,0,0,0,0
2021-05-28,2924,0,0,2912,12,0,0,0,0
2021-05-29,2924,0,0,2912,12,0,0,0,0
2021-05-30,2924,0,0,2912,12,0,0,0,0
2021-05-31,2924,0,0,2912,12,0,0,0,0
2021-06-01,2924,0,0,2912,12,0,0,0,0
2021-06-02,2924,0,0,2912,12,0,0,0,0
2021-06-03,2924,0,0,2912,12,0,0,0,0
2021-06-04,2924,0,0,2912,12,0,0,0,0
2021-06-05,2924,0,0,2912,12,0,0,0,0
2021-06-06,2924,0,0,2912,12,0,0,0,0
2021-06-07,2924,0,0,2912,12,0,0,0,0
2021-06-08,2924,0,0,2912,12,0,0,0,0
2021-06-09,2924,0,0,2912,12,0,0,0,0
2021-06-10,2924,0,0,2912,12,0,0,0,0
2021-06-11,2924,0,0,2912,12,0,0,0,0
2021-06-12,2924,0,0,2912,12,0,0,0,0
2021-06-13,2924,0,0,2912,12,0,0,0,0
2021-06-14,2924,0,0,2912,12,0,0,0,0
2021-06-15,2924,0,0,2912,12,0,0,0,0
2021-06-16,2924,0,0,2912,12,0,0,0,0
2021-06-17,2924,0,0,2912,12,0,0,0,0
2021-06-18,2924,0,0,2912,12,0,0,0,0
2021-06-19,2924,0,0,2912,12,0,0,0,0
2021-06-20,2924,0,0,2912,12,0,0,0,0
2021-06-21,2924,0,0,2912,12,0,0,0,0
2021-06-22,2924,0,0,2912,12,0,0,0,0
2021-06-23,2924,0,0,2912,12,0,0,0,0
2021-06-24,2924,0,0,2912,12,0,0,0,0
2021-06-25,2924,0,0,2912,12,0,0,0,0
2021-06-26,2924,0,0,2912,12,0,0,0,0
2021-06-27,2924,0,0,2912,12,0,0,0,0
2021-06-28,2924,0,0,2912,12,0,0,0,0
2021-06-29,2924,0,0,2912,12,0,0,0,0
2021-06-30,2924,0,0,2912,12,0,0,0,0
2021-07-01,2924,0,0,2912,12,0,0,0,0
2021-07-02,2924,0,0,2912,12,0,0,0,0
2021-07-03,2924,0,0,2912,12,0,0,0,0
2021-07-04,2924,0,0,2912,12,0,0,0,0
2021-07-05,2924,0,0,2912,12,0,0,0,0
